"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "pip requirements", "Python", "MS SQL", "JavaScript", "Properties", "C++", "Makefile", "Gradle", "XML", "Objective-C", "Batch", "Java", "comment", "blank", "total"
"c:\mobile system manager\textile-mobile\app\(app)\production\pick.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\mobile system manager\textile-mobile\app\(app)\scan\index.tsx", "TypeScript JSX", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 168
"c:\mobile system manager\textile-mobile\app\(app)\scanner.tsx", "TypeScript JSX", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 228
"c:\mobile system manager\textile-mobile\app\(app)\settings\branches.tsx", "TypeScript JSX", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 198
"c:\mobile system manager\textile-mobile\app\(app)\settings\notifications.tsx", "TypeScript JSX", 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 286
"c:\mobile system manager\textile-mobile\app\(app)\settings\plan.tsx", "TypeScript JSX", 0, 0, 0, 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 354
"c:\mobile system manager\textile-mobile\app\(app)\shared\batch\[code].tsx", "TypeScript JSX", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 173
"c:\mobile system manager\textile-mobile\app\(app)\shared\khata\[id].tsx", "TypeScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 123
"c:\mobile system manager\textile-mobile\app\(app)\shared\khata\index.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 129
"c:\mobile system manager\textile-mobile\app\(app)\shared\messages.tsx", "TypeScript JSX", 0, 0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49, 472
"c:\mobile system manager\textile-mobile\app\(app)\shared\qr-generator.tsx", "TypeScript JSX", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 202
"c:\mobile system manager\textile-mobile\app\(app)\shared\scan-history.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 111
"c:\mobile system manager\textile-mobile\app\(app)\shared\settings.tsx", "TypeScript JSX", 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 253
"c:\mobile system manager\textile-mobile\app\(app)\shared\tasks.tsx", "TypeScript JSX", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 193
"c:\mobile system manager\textile-mobile\app\(app)\vision.tsx", "TypeScript JSX", 0, 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 302
"c:\mobile system manager\textile-mobile\app\(auth)\NodePairingScreen.tsx", "TypeScript JSX", 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 336
