"filename", "language", "JSON", "Markdown", "TypeScript JSX", "TypeScript", "Python", "JavaScript", "comment", "blank", "total"
"c:\mobile system manager\textile-mobile\src\hooks\useTaskSubscriber.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\hooks\useTransaction.ts", "TypeScript", 0, 0, 0, 7, 0, 0, -7, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\CryptoService.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\HeartbeatService.ts", "TypeScript", 0, 0, 0, 8, 0, 0, -8, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\MobileCrypto.ts", "TypeScript", 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\PairingManager.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\auth\NoxisGuardian\index.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\mobile system manager\textile-mobile\src\lib\auth\verifyTier.ts", "TypeScript", 0, 0, 0, -18, 0, 0, -3, -4, -25
"c:\mobile system manager\textile-mobile\src\lib\db\meshDb.ts", "TypeScript", 0, 0, 0, 37, 0, 0, -5, 4, 36
"c:\mobile system manager\textile-mobile\src\lib\gis\NoxisPathFinder.ts", "TypeScript", 0, 0, 0, 5, 0, 0, -5, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\mesh\NoxisSynapse\url.ts", "TypeScript", 0, 0, 0, 7, 0, 0, -7, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\mesh\mesh-client.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\mesh\tcp-client.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\notifications\HeadlessTask.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 7, 61
"c:\mobile system manager\textile-mobile\src\lib\notifications\NotificationChannels.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 6, 85
"c:\mobile system manager\textile-mobile\src\lib\notifications\NotificationService.ts", "TypeScript", 0, 0, 0, 238, 0, 0, 0, 31, 269
"c:\mobile system manager\textile-mobile\src\lib\notifications\SentinelService.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\notifications\notifee\NotifeeNativeError.ts", "TypeScript", 0, 0, 0, 4, 0, 0, -4, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\persona\PersonaEngine.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 1, 51
"c:\mobile system manager\textile-mobile\src\lib\printer.ts", "TypeScript", 0, 0, 0, 3, 0, 0, -3, 0, 0
"c:\mobile system manager\textile-mobile\src\lib\types.ts", "TypeScript", 0, 0, 0, 2, 0, 0, -2, 0, 0
